Patient,Cohort,Horizon,Model,RMSE,MAE,R2
559,2018,15min,A: Glucose only,17.22,11.5,0.93
559,2018,15min,B: Glucose + HeartRate,16.94,10.95,0.94
559,2018,15min,C: Glucose + Carbs(meals),17.05,11.08,0.94
559,2018,15min,D: Glucose + HR + Steps + Carbs + Sleep,17.51,11.35,0.93
559,2018,15min,E: Glucose + Insulin (bolus+basal),17.1,11.02,0.93
559,2018,15min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),16.9,11.17,0.94
559,2018,30min,A: Glucose only,25.97,18.26,0.85
559,2018,30min,B: Glucose + HeartRate,26.23,18.59,0.85
559,2018,30min,C: Glucose + Carbs(meals),25.12,17.52,0.86
559,2018,30min,D: Glucose + HR + Steps + Carbs + Sleep,25.81,17.72,0.85
559,2018,30min,E: Glucose + Insulin (bolus+basal),25.69,17.98,0.85
559,2018,30min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),25.46,17.51,0.86
559,2018,60min,A: Glucose only,40.47,30.55,0.64
559,2018,60min,B: Glucose + HeartRate,40.81,30.57,0.63
559,2018,60min,C: Glucose + Carbs(meals),38.77,29.12,0.67
559,2018,60min,D: Glucose + HR + Steps + Carbs + Sleep,37.68,27.72,0.68
559,2018,60min,E: Glucose + Insulin (bolus+basal),38.85,29.16,0.66
559,2018,60min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),36.5,27.27,0.7
563,2018,15min,A: Glucose only,14.83,10.13,0.9
563,2018,15min,B: Glucose + HeartRate,14.59,10.07,0.9
563,2018,15min,C: Glucose + Carbs(meals),14.84,10.25,0.9
563,2018,15min,D: Glucose + HR + Steps + Carbs + Sleep,14.95,10.42,0.89
563,2018,15min,E: Glucose + Insulin (bolus+basal),14.71,10.11,0.9
563,2018,15min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),16.58,11.75,0.87
563,2018,30min,A: Glucose only,21.88,16.03,0.77
563,2018,30min,B: Glucose + HeartRate,20.89,15.13,0.79
563,2018,30min,C: Glucose + Carbs(meals),21.46,15.64,0.78
563,2018,30min,D: Glucose + HR + Steps + Carbs + Sleep,21.54,15.73,0.78
563,2018,30min,E: Glucose + Insulin (bolus+basal),21.61,15.72,0.78
