Horizon,Architecture,n_patients,RMSE,MAE,MARD,TimeLag_min,CEGA_A_%,CEGA_B_%,CEGA_C_%,CEGA_D_%,CEGA_E_%
15min,BiLSTM,12,16.29 ± 4.09,12.68 ± 3.78,11.11 ± 5.25,0.00 ± 0.00,87.14 ± 11.92,10.23 ± 11.43,0.00 ± 0.00,2.63 ± 3.32,0.00 ± 0.00
15min,GRU,12,14.59 ± 4.56,11.21 ± 3.78,9.44 ± 3.95,0.00 ± 0.00,88.58 ± 11.82,9.39 ± 11.47,0.00 ± 0.00,2.03 ± 2.02,0.00 ± 0.00
15min,LSTM,12,18.82 ± 6.02,14.49 ± 4.87,11.92 ± 5.02,0.00 ± 0.00,84.49 ± 12.27,13.10 ± 11.70,0.00 ± 0.00,2.41 ± 2.37,0.00 ± 0.00
15min,TCN,12,20.08 ± 6.23,15.44 ± 5.01,12.70 ± 5.30,0.00 ± 0.00,82.20 ± 11.35,15.24 ± 11.98,0.00 ± 0.00,2.55 ± 2.42,0.00 ± 0.00
15min,Transformer,12,24.59 ± 9.82,18.86 ± 7.99,16.80 ± 9.71,0.00 ± 0.00,77.73 ± 13.64,19.04 ± 13.58,0.16 ± 0.55,3.08 ± 2.72,0.00 ± 0.00
30min,BiLSTM,12,23.14 ± 6.44,17.90 ± 5.36,15.26 ± 6.61,0.00 ± 0.00,77.84 ± 12.89,18.34 ± 12.75,0.13 ± 0.44,3.69 ± 4.08,0.00 ± 0.00
30min,GRU,12,20.51 ± 4.58,15.97 ± 4.21,13.98 ± 5.69,0.00 ± 0.00,79.39 ± 11.60,17.01 ± 11.88,0.00 ± 0.00,3.60 ± 3.89,0.00 ± 0.00
30min,LSTM,12,27.00 ± 10.86,21.52 ± 8.98,17.22 ± 7.19,0.00 ± 0.00,72.69 ± 14.46,23.27 ± 13.77,0.09 ± 0.33,3.91 ± 3.80,0.03 ± 0.11
30min,TCN,12,25.91 ± 10.51,20.23 ± 8.44,16.63 ± 6.32,0.00 ± 0.00,72.71 ± 13.88,23.01 ± 13.73,0.09 ± 0.33,4.16 ± 3.72,0.03 ± 0.11
30min,Transformer,12,30.98 ± 11.79,24.28 ± 10.11,22.09 ± 12.39,0.00 ± 0.00,67.13 ± 17.51,25.53 ± 15.49,0.16 ± 0.55,7.15 ± 11.06,0.03 ± 0.11
60min,BiLSTM,12,34.13 ± 10.76,26.96 ± 8.96,23.17 ± 10.02,0.00 ± 0.00,62.59 ± 15.41,29.57 ± 15.07,0.22 ± 0.77,7.56 ± 10.97,0.06 ± 0.22
60min,GRU,12,33.08 ± 12.51,26.61 ± 10.33,22.51 ± 9.61,0.00 ± 0.00,62.60 ± 16.92,29.02 ± 15.23,0.13 ± 0.44,8.18 ± 11.98,0.06 ± 0.22
60min,LSTM,12,34.73 ± 10.68,27.46 ± 8.92,23.72 ± 10.32,0.00 ± 0.00,61.20 ± 15.74,30.30 ± 14.65,0.22 ± 0.77,8.21 ± 12.29,0.06 ± 0.22
60min,TCN,12,36.48 ± 13.31,29.33 ± 10.97,25.28 ± 10.83,0.00 ± 0.00,59.42 ± 15.56,31.43 ± 14.53,0.26 ± 0.77,8.77 ± 12.49,0.13 ± 0.44
60min,Transformer,12,40.20 ± 12.94,32.14 ± 10.79,28.82 ± 12.56,0.00 ± 0.00,56.66 ± 16.73,33.88 ± 15.56,0.52 ± 1.23,8.78 ± 13.24,0.16 ± 0.55
