Horizon,Model,RMSE_mean,RMSE_std,N_patients
15min,A: Glucose only,16.72,2.6,12
15min,B: Glucose + HeartRate,16.51,2.35,6
15min,C: Glucose + Carbs(meals),17.4,3.29,12
15min,D: Glucose + HR + Steps + Carbs + Sleep,18.2,2.93,6
15min,E: Glucose + Insulin (bolus+basal),16.69,2.56,12
15min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),18.09,3.04,6
30min,A: Glucose only,25.22,3.47,12
30min,B: Glucose + HeartRate,24.29,2.84,6
30min,C: Glucose + Carbs(meals),25.54,3.83,12
30min,D: Glucose + HR + Steps + Carbs + Sleep,25.1,2.94,6
30min,E: Glucose + Insulin (bolus+basal),24.71,3.54,12
30min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),25.59,2.82,6
60min,A: Glucose only,38.03,5.09,12
60min,B: Glucose + HeartRate,36.1,3.64,6
60min,C: Glucose + Carbs(meals),38.21,5.59,12
60min,D: Glucose + HR + Steps + Carbs + Sleep,36.1,2.55,6
60min,E: Glucose + Insulin (bolus+basal),37.18,4.87,12
60min,F: Full multimodal (HR+Steps+Carbs+Sleep+Insulin),36.99,1.98,6
